OBJECTID,SUBJ_STATE,FEATURE,Shape__Area,Shape__Length
1,OREGON,0,39697054702.6097,8525975.38333973
2,OREGON,1,23465600.446106,32209.986754758
3,OREGON,1,3361743.66998291,23324.190385942
4,OREGON,1,4084902.60577393,14136.9484460012
5,OREGON,1,9554839.86700439,19194.1046074676
6,OREGON,1,380465.24609375,2772.28607003423
7,OREGON,1,2938.94470214844,224.46014505009
8,OREGON,1,5881.59106445313,317.77460818968
9,OREGON,1,14220121.1470947,38643.0903889386
10,OREGON,1,200277.75604248,1648.40154403334
11,OREGON,1,136251.843505859,1525.24492142269
12,OREGON,1,53691.2373046875,981.883519716011
13,OREGON,1,14295.2048339844,566.216517946499
14,OREGON,1,248473.870849609,4370.61435880266
15,OREGON,1,197863.608703613,2808.18040629333
16,OREGON,1,2459872.95483398,11882.2106265555
17,OREGON,1,2675088.02685547,10576.9461329383
18,OREGON,1,20063081.5476685,36326.7511527992
19,OREGON,1,11479830.4017334,37983.7526528369
20,OREGON,1,7397672.67443848,16415.2423909145
21,OREGON,1,562984.657348633,6273.31299225572
22,OREGON,1,8500706.91931152,19641.9877245809
23,OREGON,1,226151.225097656,2646.42822931973
24,OREGON,1,302313.786621094,3084.61591274505
25,OREGON,1,376029.611572266,2938.39629614151
26,OREGON,1,126052.827941895,2281.08602742519
27,OREGON,1,29363.557800293,641.587194650038
28,OREGON,3,2700166318527.73,8448843.56708091
29,OREGON,1,83444.6507568359,1405.48114489244
30,OREGON,1,72256.1137695313,2646.29002493258
31,OREGON,1,128039.607116699,1355.51949787094
32,OREGON,1,9711.83612060547,366.749269949781
33,OREGON,1,140062.875427246,2411.52772014618
34,OREGON,1,17819.9727783203,652.653258398201
35,OREGON,1,8922.55383300781,414.094872627509
36,OREGON,1,8678.54272460938,364.496268813684
37,OREGON,1,10458.3552856445,512.500585894042
38,OREGON,1,204944.124145508,1745.04390879464
39,OREGON,1,64664.9401245117,1438.4746730371
40,OREGON,1,6919.95281982422,401.224640556715
41,OREGON,1,59717.8474121094,1375.83070090149
42,OREGON,1,5289.42468261719,311.849619541248
43,OREGON,1,37692.1619873047,1099.33094595181
44,OREGON,1,352051.436218262,3300.06587281032
45,OREGON,1,24353.1376953125,734.195749167165
46,OREGON,1,23601.758972168,778.854673298615
47,OREGON,1,2239397.80432129,11689.623486618
48,OREGON,1,4536.83807373047,276.10997101135
49,OREGON,1,48081.8268432617,1281.48658980453
50,OREGON,1,7834.27075195313,404.495589680198
51,OREGON,1,7695.81469726563,405.312804293796
52,OREGON,1,2721.92730712891,228.738283018155
53,OREGON,1,2074.89331054688,183.669870829116
54,OREGON,1,2075.28332519531,183.212148315183
55,OREGON,1,6645.49273681641,348.730377391011
56,OREGON,1,1582.25982666016,183.978748925587
57,OREGON,1,1425.71429443359,150.112825036344
58,OREGON,1,921337.467529297,10225.3453712494
59,OREGON,1,3823.09716796875,283.770220072448
60,OREGON,1,7857.29626464844,387.430629724284
61,OREGON,1,17175.8721923828,683.677465839092
62,OREGON,1,2899.49731445313,210.56646928761
63,OREGON,1,2470.94281005859,197.87451042902
64,OREGON,1,118060.862854004,1657.05096897536
65,OREGON,1,4534.001953125,298.552451570535
66,OREGON,1,185035.325439453,2811.78037449025
67,OREGON,1,12896818.6170654,28553.2371697771
68,OREGON,1,102354.80065918,1536.63189636357
69,OREGON,1,24254.8988647461,722.837545617654
70,OREGON,1,442888.775756836,3969.63727553072
71,OREGON,1,906202.549621582,6745.30949657856
72,OREGON,1,81677.4272460938,1690.81121560731
73,OREGON,1,63903.9829101563,1142.02163209249
74,OREGON,1,4892285.02703857,22059.51053981
75,OREGON,1,81339.8645629883,1600.26503402394
76,OREGON,1,7987.24865722656,430.752945885763
77,OREGON,1,1833217.58581543,6085.06746646455
78,OREGON,1,1218580.69421387,5681.92492569725
79,OREGON,1,51074.4176025391,977.782733100582
80,OREGON,1,3601.64929199219,255.495729512024
81,OREGON,1,869717.049743652,6198.58546531202
82,OREGON,1,84843079.5439453,44059.7018560441
83,OREGON,1,11779.2404785156,447.188255746245
84,OREGON,1,3564.94219970703,286.862076198849
85,OREGON,1,165346.952453613,2369.40935915982
86,OREGON,1,3854270.79351807,9571.22045257207
87,OREGON,1,265599.773925781,2483.12814293999
88,OREGON,1,1233129.90264893,4788.70765088861
89,OREGON,1,10737.1380615234,475.556426785929
90,OREGON,1,3634.28662109375,237.065439842409
91,OREGON,1,6778.13934326172,322.860343182722
92,OREGON,1,7053.06030273438,323.791328130674
93,OREGON,1,495793.647705078,2593.74164256678
94,OREGON,1,162299.887451172,1557.8357967991
95,OREGON,1,94411.0426635742,1814.13819015917
96,OREGON,1,97266.7423706055,1985.35166679384
97,OREGON,1,96735.2298583984,1296.52449598014
98,OREGON,1,62824.8609008789,1156.52989563659
99,OREGON,1,288884.091674805,2745.06612839623
100,OREGON,1,3254428.36804199,11437.1779462483
101,OREGON,1,15300.912902832,638.066739723963
102,OREGON,1,4742295.21551514,11398.7899461766
103,OREGON,1,40613.7613525391,961.392901870011
104,OREGON,1,61694.3931884766,1686.18426797938
105,OREGON,1,3043.77307128906,245.776729294439
106,OREGON,1,6828.16442871094,351.703706627682
